TIME,AMP,HV,LLD,COUNT
10.0,1.2,701.0,0.6,929.6333333333333
10.0,1.2,749.8,0.598,469.23333333333335
10.0,1.2,800.0666666666667,0.5966666666666666,169.03333333333333
10.0,1.2,850.0,0.6,135.76666666666668
10.0,1.2,899.9333333333333,0.5983333333333333,66.43333333333334
10.0,1.2,601.0,0.8000000000000004,413.9
10.0,1.2,650.9333333333333,0.8000000000000004,671.3666666666667
10.0,1.2,701.0,0.7996666666666671,763.8
10.0,1.2,749.4333333333333,0.8000000000000004,654.5
10.0,1.2,800.0,0.7939999999999999,316.6666666666667
10.0,1.2,599.2,0.4000000000000002,443.1333333333333
10.0,1.2,850.0,0.7963333333333334,110.46666666666667
10.0,1.2,899.4,0.8000000000000004,120.63333333333334
10.0,1.2,601.0,1.0,215.3
10.0,1.2,651.0,0.9996666666666667,385.4
10.0,1.2,701.0,0.9993333333333333,566.1666666666666
10.0,1.2,750.0,0.999,580.1
10.0,1.2,800.0,1.0,593.6333333333333
10.0,1.2,850.0,0.9899999999999994,189.8
10.0,1.2,900.0,0.9936666666666663,77.93333333333334
10.0,1.2,601.0,1.2,229.1
10.0,1.2,651.0,0.4000000000000002,402.53333333333336
10.0,1.2,651.0,1.2,251.66666666666666
10.0,1.2,701.0,1.2,402.06666666666666
10.0,1.2,750.0,1.2,463.4
10.0,1.2,800.0,1.2,438.46666666666664
10.0,1.2,850.0,1.2,280.8
10.0,1.2,899.9333333333333,1.1900000000000002,118.16666666666667
10.0,1.2,601.0,1.3999999999999992,287.0
10.0,1.2,651.0,1.3999999999999992,166.7
10.0,1.2,700.6666666666666,1.3989999999999996,267.53333333333336
10.0,1.2,750.0,1.3999999999999992,389.76666666666665
10.0,1.2,701.0,0.4000000000000002,243.3
10.0,1.2,800.0,1.3999999999999992,407.06666666666666
10.0,1.2,849.6,1.3993333333333324,330.5
10.0,1.2,900.0,1.3999999999999992,163.8
10.0,1.2,601.0,1.6000000000000008,49.46666666666667
10.0,1.2,651.0,1.6000000000000008,102.86666666666666
10.0,1.2,701.0,1.6000000000000008,208.46666666666667
10.0,1.2,749.0,1.5956666666666675,323.5
10.0,1.2,799.9333333333333,1.590000000000001,349.8
10.0,1.2,850.0,1.590000000000001,327.5
10.0,1.2,900.0,1.599333333333334,229.6
10.0,1.2,750.0,0.3980000000000002,69.0
10.0,1.2,800.0,0.4000000000000002,68.03333333333333
10.0,1.2,850.0,0.4000000000000002,24.233333333333334
10.0,1.2,898.4,0.4000000000000002,14.8
10.0,1.2,601.0666666666667,0.6,890.6
10.0,1.2,650.8666666666667,0.6,1088.4666666666667
10.0,1.6,701.0,0.5993333333333334,724.6333333333333
10.0,1.6,749.7333333333333,0.598333333333333,267.93333333333334
10.0,1.6,800.0666666666667,0.5976666666666666,153.1
10.0,1.6,849.8666666666667,0.6,107.63333333333334
10.0,1.6,899.8666666666667,0.5983333333333333,38.833333333333336
10.0,1.6,600.8666666666667,0.8000000000000004,487.6333333333333
10.0,1.6,650.9333333333333,0.8000000000000004,735.9333333333333
10.0,1.6,701.0,0.7993333333333337,733.6666666666666
10.0,1.6,749.0,0.8000000000000004,519.2333333333333
10.0,1.6,800.0,0.7926666666666663,170.5
10.0,1.6,599.0,0.4000000000000002,360.4
10.0,1.6,850.0,0.7966666666666667,111.53333333333333
10.0,1.6,898.5333333333333,0.8000000000000004,95.76666666666667
10.0,1.6,601.0,0.9996666666666667,295.73333333333335
10.0,1.6,651.0,0.9996666666666666,492.8
10.0,1.6,701.0,0.999,583.7666666666667
10.0,1.6,750.0,1.0,544.3666666666667
10.0,1.6,800.0,0.9899999999999994,317.43333333333334
10.0,1.6,850.0,0.9899999999999994,105.06666666666666
10.0,1.6,900.0,0.990666666666666,79.76666666666667
10.0,1.6,601.0,1.2,161.63333333333333
10.0,1.6,651.0,0.4000000000000002,292.8666666666667
10.0,1.6,651.0,1.2,312.76666666666665
10.0,1.6,701.0,1.2,456.4
10.0,1.6,750.0,1.2,481.4
10.0,1.6,800.0,1.2,373.6666666666667
10.0,1.6,850.0,1.2,164.76666666666668
10.0,1.6,898.5333333333333,1.1900000000000002,68.86666666666666
10.0,1.6,601.0,1.3999999999999992,126.7
10.0,1.6,650.8,1.3993333333333327,201.23333333333332
10.0,1.6,700.0666666666667,1.3993333333333327,339.73333333333335
10.0,1.6,750.0,1.3999999999999992,393.3333333333333
10.0,1.6,701.0,0.4000000000000002,117.6
10.0,1.6,800.0,1.3999999999999992,365.3333333333333
10.0,1.6,848.8666666666667,1.3979999999999997,257.8666666666667
10.0,1.6,900.0,1.3999999999999992,83.96666666666667
